name,winning_perc_before_ko,winning_perc_after_ko
Gian Villante,0.5,0.3333333333333333
Gilbert Burns,0.6666666666666666,0.75
Gillian Robertson,0.6666666666666666,0.5555555555555556
Gina Mazany,0.25,0.25
Gleison Tibau,0.5,0.42857142857142855
Gloria de Paula,0.0,0.5
Glover Teixeira,0.7272727272727273,0.6666666666666666
Godofredo Pepey,0.3333333333333333,0.5
Gokhan Saki,0.5,0.0
Gray Maynard,0.5,0.2857142857142857
Greg Hardy,0.5,0.0
Gregor Gillespie,0.8571428571428571,1.0
Gregory Rodrigues,0.6666666666666666,1.0
Grigory Popov,0.0,0.0
Guido Cannetti,0.3333333333333333,0.5
Gunnar Nelson,0.7,0.6
Guram Kutateladze,0.3333333333333333,0.0
Gustavo Lopez,0.3333333333333333,0.0
Guto Inocente,0.0,0.0
Hannah Cifers,0.0,0.3333333333333333
Hannah Goldy,0.25,0.0
Hans Stringer,0.5,0.0
Harry Hunsucker,0.0,0.0
Hatsu Hioki,0.2857142857142857,0.0
Hector Aldana,0.0,0.0
Hector Lombard,0.42857142857142855,0.0
Hector Sandoval,0.5,0.0
Hector Urbina,0.3333333333333333,0.0
Henrique da Silva,0.4,0.0
Henry Briones,0.3333333333333333,0.0
Henry Cejudo,0.8,0.75
Henry Martinez,0.3333333333333333,0.0
Herbert Burns,0.6666666666666666,0.0
Holly Holm,0.5,0.6
Horacio Gutierrez,0.0,0.0
Hugo Viana,0.6666666666666666,0.3333333333333333
Humberto Bandenay,0.5,0.0
Hunter Azure,0.5,0.5
Hyun Gyu Lim,0.6,0.0
Ian Entwistle,0.0,0.5
Ian Heinisch,0.42857142857142855,0.0
Igor Araujo,0.6666666666666666,0.0
Igor Pokrajac,0.2,0.0
Ihor Potieria,0.0,0.5
Ike Villanueva,0.0,0.2
Iliarde Santos,0.0,0.0
Ilir Latifi,0.5,0.5833333333333334
Impa Kasanganay,0.5,0.5
Ion Cutelaba,0.5,0.2857142857142857
Islam Makhachev,0.5,1.0
Israel Adesanya,0.8571428571428571,1.0
Issei Tamura,0.5,0.0
Istela Nunes,0.0,0.0
Iuri Alcantara,0.5294117647058824,0.0
JJ Aldrich,0.6,0.5714285714285714
JP Buys,0.0,0.0
Jacare Souza,0.7777777777777778,0.2857142857142857
Jack Hermansson,0.6,0.6363636363636364
Jack Marshman,0.5,0.3333333333333333
Jack May,0.0,0.0
Jacob Malkoun,0.0,0.75
Jai Herbert,0.0,0.3333333333333333
Jairzinho Rozenstruik,0.8,0.42857142857142855
Jake Collier,0.0,0.4166666666666667
Jake Ellenberger,0.5,0.3076923076923077
Jake Lindsey,0.0,0.0
Jake Matthews,0.6666666666666666,0.6666666666666666
Jalin Turner,0.0,0.6666666666666666
Jamahal Hill,0.5,1.0
James Bochnovic,0.0,0.0
James Head,0.6666666666666666,0.0
James Krause,0.5,0.7272727272727273
James Te Huna,0.6,0.0
James Vick,0.8333333333333334,0.5
Jamey Simmons,0.0,0.0
Jamie Mullarkey,0.4,0.6666666666666666
Jamie Pickett,0.0,0.3333333333333333
Jamie Varner,0.4,0.0
Jan Blachowicz,0.5454545454545454,0.6666666666666666
Jared Cannonier,0.0,0.6666666666666666
Jared Gordon,0.6666666666666666,0.5
Jared Hamman,0.0,0.0
Jared Rosholt,0.75,0.75
Jared Vanderaa,0.0,0.16666666666666666
Jarred Brooks,0.3333333333333333,1.0
Jason Gonzalez,0.0,0.3333333333333333
Jason High,0.5,0.0
Jason Knight,0.6666666666666666,0.0
Jason MacDonald,0.0,0.0
Jason Novelli,0.0,0.0
Jason Saggo,0.5,0.0
Jason Witt,0.0,0.4
Jason Young,0.5,0.0
Jay Hieron,0.0,0.0
Jeka Saragih,0.0,0.0
Jeremy Kennedy,0.75,0.0
Jeremy Kimball,0.0,0.3333333333333333
Jeremy Larsen,0.0,0.0
Jeremy Stephens,0.0,0.42105263157894735
Jerome Rivera,0.0,0.0
Jerrod Sanders,0.0,0.3333333333333333
Jessamyn Duke,0.3333333333333333,0.0
Jesse Butler,0.0,0.0
Jesse Ronson,0.0,0.0
Jesse Strader,0.0,0.0
Jessica Andrade,0.0,0.625
Jessica Eye,0.36363636363636365,0.2
Jessica Penne,0.5,0.3333333333333333
Jessica Rakoczy,0.0,0.0
Jessin Ayari,0.25,0.0
Jim Alers,0.5,0.0
Jim Miller,0.5714285714285714,0.5
Jimi Manuwa,0.75,0.375
Jimmie Rivera,0.8333333333333334,0.4
Jimmy Crute,0.6666666666666666,0.0
Jimmy Flick,0.5,0.0
Jimmy Quinlan,0.0,0.0
Jimy Hettes,0.3333333333333333,0.0
Jinh Yu Frey,0.3333333333333333,0.0
Joachim Christensen,0.25,0.0
Joanna Jedrzejczyk,0.8888888888888888,0.3333333333333333
Joaquim Silva,0.6666666666666666,0.3333333333333333
Joaquin Buckley,0.0,0.6666666666666666
Joby Sanchez,0.3333333333333333,0.0
Joe Duffy,0.6666666666666666,0.0
Joe Ellenberger,0.5,0.0
Joe Lauzon,0.0,0.4666666666666667
Joe Proctor,0.5714285714285714,0.0
Joe Riggs,0.25,0.0
Joe Soto,0.0,0.42857142857142855
Joel Alvarez,0.6666666666666666,1.0
Joey Beltran,0.0,0.0
Joey Gomez,0.0,0.0
John Castaneda,0.5,1.0
John Cofer,0.0,0.0
John Hathaway,0.6666666666666666,0.0
John Howard,0.4,0.5
John Makdessi,0.5714285714285714,0.5555555555555556
John Moraga,0.6,0.5555555555555556
Johnny Bedford,0.25,0.0
Johnny Eduardo,0.6,0.0
Johnny Munoz,0.3333333333333333,0.5
Johnny Walker,0.75,0.5714285714285714
Johny Hendricks,0.625,0.2
Jon Delos Reyes,0.0,0.5
Jonathan Martinez,0.5714285714285714,1.0
Jonathan Pearce,0.0,1.0
Jonathan Wilson,0.5,0.0
Jordan Mein,0.5,0.5714285714285714
Jordan Rinaldi,0.3333333333333333,0.5
Jordan Williams,0.0,0.0
Jordan Wright,0.5,0.2
Jorge Masvidal,0.6,0.0
Jose Aldo,0.8333333333333334,0.5
Jose Maria,0.0,0.0
Jose Quinonez,0.625,0.0
Jose Torres,0.5,0.0
Joseph Benavidez,0.6666666666666666,0.6923076923076923
Joseph Holmes,0.25,0.0
Joseph Morales,0.5,0.0
Joseph Sandoval,0.0,0.0
Josh Barnett,0.5,0.6666666666666666
Josh Copeland,0.0,0.0
Josh Culibao,0.0,0.6
Josh Emmett,0.6666666666666666,0.7142857142857143
Josh Koscheck,0.3333333333333333,0.0
Josh Neer,0.5,0.0
Josh Parisian,0.3333333333333333,0.3333333333333333
Josh Samman,0.6,0.0
Josh Shockley,0.0,0.0
Josh Stansbury,0.3333333333333333,0.0
Joshua Burkman,0.0,0.16666666666666666
Journey Newson,0.0,0.3333333333333333
Juan Adams,0.3333333333333333,0.0
Juan Manuel Puig,0.0,0.0
Julian Erosa,0.5,0.45454545454545453
Julian Marquez,0.6,0.0
Juliana Miller,0.3333333333333333,0.0
Julija Stoliarenko,0.16666666666666666,1.0
Julio Arce,0.5714285714285714,0.5
Jumabieke Tuerxun,0.0,0.0
JunYong Park,0.6,1.0
Junior Albini,0.25,0.0
Junior Dos Santos,0.5,0.45454545454545453
Jussier Formiga,0.0,0.6
Justin Edwards,0.5,0.0
Justin Gaethje,0.5,0.7
Justin Jaynes,0.3333333333333333,0.0
Justin Lawrence,0.5,0.0
Justin Ledet,0.6,0.0
Justin Salas,0.5,0.4
Justin Tafa,0.0,0.5
KB Bhullar,0.0,0.0
Kai Kamaka,0.5,0.0
Kai Kara-France,0.7,0.0
Kailin Curran,0.0,0.16666666666666666
Kajan Johnson,0.0,0.6666666666666666
Kamaru Usman,0.9375,0.0
Kanako Murata,0.5,0.0
Karl Roberson,0.4444444444444444,0.0
Karolina Kowalkiewicz,0.625,0.42857142857142855
Katlyn Chookagian,0.6666666666666666,0.7142857142857143
Katsunori Kikuno,0.5,0.3333333333333333
Kelly Faszholz,0.0,0.0
Ken Stone,0.5,0.0
Kennedy Nzechukwu,0.6,0.6
Ketlen Vieira,0.8,0.6666666666666666
